segment_id,technicality
7076889,1
6031939,1
17328510,1
3950628,1
26679440,1
19695507,1
29104086,1
13862757,1
23091748,1
34803351,1
17128310,1
18965451,1
33859819,1
19692137,1
26920696,1
16810576,1
19050651,1
4904950,1
19394415,1
26051233,1
26888578,1
21600939,1
4591680,1
23351710,1
24121492,1
26828916,1
22661045,1
16341855,1
27050961,1
19915975,1
35273784,1
28212048,1
26643823,1
22802689,1
24750286,1
30260769,1
23259777,1
28754050,1
23547341,1
28634029,1
6914079,1
21030068,1
4211496,1
25074512,1
23462433,1
37219671,1
11765577,1
17454731,1
14535471,1
26596456,1
13546909,1
19279513,1
23398562,1
8594418,1
23754843,1
28593396,1
13862752,1
34200475,1
16508458,1
21941354,1
7724403,1
14596080,1
29509165,1
39294796,1
19424842,1
23590236,1
20393930,1
34443616,1
27226835,1
30813698,1
22449406,1
29504613,1
26462137,1
28471316,1
6380244,1
21126780,1
23584964,1
16215497,1
18096720,1
16993265,1
22855190,1
26052767,1
27330125,1
27426094,1
4426387,1
26965609,1
12494618,1
2629050,1
17208644,1
5188098,1
22551908,1
19482561,1
30508975,1
5914580,1
20300682,1
19564831,1
3896321,1
12851670,1
21484370,1
29457036,1
6421494,1
12090625,1
13531634,1
29859330,1
16692801,1
30782161,1
7934786,1
21197243,1
22950845,1
14421592,1
15483293,1
16142032,1
14387031,1
16631645,1
16912920,1
21027353,1
23508939,1
37394761,1
18752137,1
7527482,1
8307096,1
12942514,1
13869272,1
19310464,1
21640271,1
33537193,1
38603891,1
21670870,1
9774941,1
38311279,1
26244708,1
21971954,1
5501810,1
23191995,1
8977196,1
28489393,1
40334270,1
24387017,1
32331362,1
35479298,1
2510025,1
22648786,1
16929177,1
18834716,1
19697717,1
27233052,1
26244846,1
24121450,1
17454779,1
27471931,1
9078445,1
6035410,1
23736843,1
17140935,1
20333488,1
21030026,1
3896271,1
999529,1
8812146,1
13688019,1
24880431,1
38456354,1
1475458,1
19516734,1
26111087,1
27766329,1
30814102,1
36850304,1
27116287,1
4591706,1
999528,1
4905002,1
24749252,1
25381746,1
2069125,1
23485358,1
5231734,1
17688977,1
5643561,1
26887922,1
17792853,1
39400607,1
13032952,1
5499041,1
24681170,1
23258849,1
10767801,1
23428602,1
3141063,1
3753814,1
22353262,1
19411268,1
22987604,1
12273627,1
24609600,1
39445195,1
4919135,1
6201962,1
1348038,1
22864024,1
28025113,1
38720393,1
26889459,1
23161903,1
36069980,1
31739917,1
3785358,1
12877203,1
24810918,1
26283814,1
2279250,1
12516452,1
26503607,1
26051512,1
6380124,1
33256126,1
17191072,1
10132293,1
37647009,1
26473777,1
23966993,1
17791704,1
4591593,1
3896306,1
25933607,1
2611948,1
13917673,1
23484761,1
4296010,1
31253909,1
23052937,1
27964268,1
17258588,1
20300854,1
27568716,1
26331447,1
27962133,1
25141435,1
29414367,1
17267778,1
26009443,1
19317097,1
30291963,1
26136503,1
24215430,1
34998043,1
19503665,1
4643536,1
8373911,1
14452111,1
24383862,1
34101022,1
38211246,1
7101304,1
23246687,1
23331458,1
24649372,1
23258579,1
30177031,1
17348769,1
23486300,1
16818842,1
17380003,1
33176787,1
24105745,1
24200402,1
31140571,1
26722069,1
26743830,1
14695295,1
37586591,1
34144762,1
40197529,1
15980385,1
16210575,1
30894713,1
9078453,1
21896419,1
999525,1
23078145,1
33236172,1
13316979,1
16341881,1
20786894,1
12225937,1
5321310,1
17421361,1
6649330,1
22261811,1
27238020,1
22475082,1
24367302,1
6731171,1
38471974,1
5555292,1
33626422,1
2611960,1
17803640,1
11262084,1
22450477,1
29952484,1
9078427,1
6405426,1
10542605,1
14899198,1
10045442,1
6290350,1
8956622,1
23197011,1
38762958,1
9187679,1
4643362,1
3677527,1
30894702,1
9305424,1
20426741,1
16645109,1
21765122,1
26326090,1
