segment_id,technicality
23351710,1
27766329,1
27450350,1
16912920,1
17657080,1
34443616,1
29137229,1
27233052,1
12928708,1
3933441,1
13032952,1
17444339,1
17526333,1
37802355,1
22787747,1
28634014,1
17100714,1
30894713,1
12477497,1
19137610,1
24121492,1
12324840,1
25032020,1
26643845,1
26244588,1
28613576,1
18031783,1
19410087,1
22648786,1
12016028,1
24770433,1
26768557,1
6380124,1
20953909,1
20575986,1
34101022,1
26796802,1
24210668,1
16341881,1
16912930,1
2611960,1
17585073,1
14904081,1
26930571,1
19620024,1
22872332,1
3822906,1
26796224,1
5275669,1
19374075,1
27184612,1
1614309,1
21126751,1
8506922,1
3848585,1
16726429,1
22466616,1
27347221,1
4085007,1
13869460,1
19068705,1
14899198,1
12035407,1
18988733,1
21584299,1
22449406,1
26796711,1
17191041,1
19700250,1
27077421,1
38893895,1
18483219,1
31907957,1
30894702,1
20426654,1
10558568,1
28212048,1
3753814,1
10779536,1
20300682,1
12090625,1
24483388,1
16249630,1
23270814,1
21601064,1
25143094,1
13316979,1
3950628,1
4084983,1
21978239,1
30624432,1
20900361,1
13917673,1
24670545,1
16645109,1
26098441,1
3899689,1
5231734,1
20426741,1
26899750,1
16292954,1
999525,1
13862750,1
26244708,1
32317345,1
22716787,1
25381746,1
21864306,1
34803331,1
17454718,1
28471316,1
25074512,1
20953900,1
9078453,1
17288720,1
4904919,1
19411268,1
28078778,1
26889459,1
39400598,1
37394761,1
21977568,1
28066703,1
26460737,1
11262084,1
22495117,1
23258849,1
21526071,1
34803373,1
16731692,1
27025164,1
8151165,1
26743830,1
38456366,1
5293340,1
21584352,1
14308749,1
999524,1
27797318,1
6290326,1
24121450,1
17306561,1
22787816,1
23026489,1
3950647,1
34659519,1
40197529,1
9083576,1
35479298,1
26920696,1
7130069,1
22344971,1
20300877,1
3677607,1
18965451,1
4591680,1
16794025,1
40334270,1
15122400,1
2611967,1
21789695,1
26283814,1
23026481,1
18242080,1
27424735,1
23026462,1
30453935,1
20567431,1
28399193,1
15988425,1
20300854,1
24750286,1
18533340,1
13687885,1
4904950,1
5188064,1
26965609,1
4643536,1
16215497,1
18113971,1
26887922,1
18036527,1
13862752,1
5847223,1
14484376,1
17258588,1
20196289,1
17087706,1
11202685,1
23514520,1
4984038,1
10447484,1
17128310,1
24880431,1
26108788,1
20300799,1
14752021,1
23259777,1
999527,1
12019243,1
32608148,1
35688633,1
17238108,1
27869313,1
35039097,1
37939512,1
19314912,1
3896309,1
3978712,1
22855238,1
27434326,1
3978668,1
5188098,1
25311365,1
26612179,1
30814102,1
3848595,1
30894726,1
26682104,1
32766737,1
4905018,1
4905002,1
22661078,1
22475082,1
23554961,1
26326090,1
22744125,1
30894661,1
28634019,1
10178207,1
26462137,1
2069125,1
5499041,1
17191072,1
34803351,1
18424137,1
16692801,1
24959481,1
25381639,1
4365267,1
17904338,1
27226835,1
5275596,1
24616798,1
3530400,1
26331447,1
31003894,1
27879828,1
3858159,1
12015964,1
13862757,1
16341855,1
34144762,1
15980385,1
26611814,1
25141425,1
13438819,1
10188623,1
18475184,1
27962182,1
23274688,1
14695295,1
21511293,1
26643823,1
30894683,1
26209084,1
25761753,1
22450477,1
18117281,1
15981338,1
25082194,1
38720393,1
25739886,1
21941354,1
40477825,1
10972541,1
16912853,1
22990358,1
24376750,1
19503652,1
26888578,1
14446097,1
23364395,1
4904967,1
16919099,1
16726456,1
1348038,1
33537193,1
37219671,1
19911208,1
19503665,1
21584314,1
16282184,1
30894605,1
22916521,1
28025113,1
16341868,1
26244555,1
3858169,1
16341841,1
27330125,1
40152335,1
39445174,1
24484033,1
18964434,1
26252974,1
27367138,1
9013601,1
13202008,1
17048942,1
21896419,1
19078915,1
5188083,1
27066632,1
3447222,1
26679440,1
2629047,1
27085117,1
30490837,1
14733462,1
14926584,1
16291360,1
18266074,1
3406292,1
12287831,1
26720106,1
10500361,1
27911269,1
31010558,1
40398162,1
3858184,1
5783868,1
39445195,1
28565536,1
29975349,1
25141435,1
12928902,1
13850157,1
27962111,1
38720353,1
24317311,1
5942372,1
6842020,1
17446475,1
17761684,1
13531564,1
18974880,1
15981367,1
12877937,1
19394415,1
7101288,1
32731998,1
22462939,1
23259830,1
38754962,1
25057376,1
34056214,1
38094071,1
10153702,1
11748450,1
40572679,1
23292464,1
21622865,1
17896680,1
3924307,1
16929200,1
12740035,1
36156133,1
