segment_id,name,T1_confidence_score,is_T1_predicted
30814102,boucle secteur rio,8.25,True
20196289,1 lap 9tours GP Gabriel CHEFIARE,7.875,True
24121492,Dernier coup de reins ST,7.0,True
26283814,Terrain Fleury - Plaine des grègues A/R,7.5,True
3848595,cafés/bagatelle,7.5,True
22450477,* D29: Bassin Plat - Montvert Les Bas,7.625,True
6380124,Route Forestière 38 des Camphriers Climb,7.124999999999999,True
16731692,N2002 Sainte-Suzanne,8.25,True
26331447,ravine grègues,7.0,True
27347221,Sprint entrée Bérive,7.75,True
27196711,Montée croisée Jean Petit/les Jacques à croisée Vival Jean Petit,6.124999999999999,False
33673685,Rue des Foulards ,5.999999999999998,False
8812146,Crève coeur ,5.625,False
27782129,RND point bel air/ etang sale/ rond bel air via 4 VOIE,6.375,False
23479282,km de confinement,5.5,False
22643444,Chemin de la foret sous le vent Sud Nord,5.5,False
27362611,RD51_Ligne_Droite_Ravine_des_Chèvres,6.499999999999999,False
5847238,D12 (RDT -> Int. D13),5.5,False
36850304,CH de la prise / Mamode Cmp,6.25,False
2279250,Route Du Volcan Climb,5.0,False
18496314,Test Achille bénard,4.625,False
23591754,montée lataniers ,3.25,False
36708237, Ch Valentin - Champ Borne par cannes,2.75,False
35683600,Rond point gamme vert / college,4.5,False
20767425,nouvelle montée xc st rose 2019,4.625,False
22399418,Féoga 2 - Chemin des Barrières (Méga 2019),2.5,False
27754809,sprint monté tunel guel rouge,3.75,False
6603715,Rue Claude Marion Climb,4.5,False
21431439,Liaison Papangue,3.25,False
23493495,Kom la case confinement,3.625,False
